scientific_name,common_name,category,source,photo_url,original_url,attribution,license,inaturalist_taxon_id
Cubaris sp. Rubber Ducky,Rubber Ducky Isopod,Isopod,NONE,,,,,
Porcellio laevis Dairy Cow,Dairy Cow Isopod,Isopod,NONE,,,,,
Porcellionides pruinosus,Powder Blue Isopod,Isopod,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/262290918/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/262290918/original.jpg,"(c) Julia Palmer, some rights reserved (CC BY-SA)",cc-by-sa,126264
Armadillidium maculatum,Zebra Isopod,Isopod,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/46380457/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/46380457/original.jpg,"(c) Ryan McMinds, some rights reserved (CC BY)",cc-by,705237
Armadillidium vulgare Magic Potion,Magic Potion Isopod,Isopod,NONE,,,,,
Armadillidium klugii,Clown Isopod,Isopod,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/8219412/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/8219412/original.jpeg,"(c) Eridan Xharahi, some rights reserved (CC BY)",cc-by,701661
Phidippus regius,Regal Jumping Spider,Jumping Spider,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/105277951/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/105277951/original.jpg,"(c) Dennis Vollmar, some rights reserved (CC BY)",cc-by,179749
Phidippus audax,Bold Jumping Spider,Jumping Spider,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/358562788/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/358562788/original.jpeg,"(c) Matthew Lindsey, some rights reserved (CC BY)",cc-by,53809
Platycryptus undatus,Tan Jumping Spider,Jumping Spider,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/509762075/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/509762075/original.jpg,"(c) Matthew Lindsey, some rights reserved (CC BY), uploaded by Matthew Lindsey",cc-by,81839
Phidippus clarus,Brilliant Jumping Spider,Jumping Spider,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/90623943/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/90623943/original.jpg,no rights reserved,cc0,58416
Phidippus otiosus,Canopy Jumping Spider,Jumping Spider,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/258231446/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/258231446/original.jpg,"(c) Ben Smith, some rights reserved (CC BY)",cc-by,322944
Lasiodora parahybana,Salmon Pink Birdeater,Tarantula,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/354084139/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/354084139/original.jpg,"(c) Thomaz de Carvalho Callado, some rights reserved (CC BY)",cc-by,367113
Grammostola pulchripes,Chaco Golden Knee,Tarantula,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/334799236/large.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/334799236/original.jpeg,"(c) Patricio Cowper Coles, some rights reserved (CC BY)",cc-by,372520
Brachypelma boehmei,Mexican Fireleg Tarantula,Tarantula,Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Brachypelma_boehmei1.jpg/330px-Brachypelma_boehmei1.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Brachypelma_boehmei1.jpg,See Wikimedia Commons for attribution,Check individual image license,
Monocentropus balfouri,Socotra Island Blue Baboon,Tarantula,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/344424965/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/344424965/original.jpg,"(c) Arabella Willing, some rights reserved (CC BY)",cc-by,461948
Heterometrus longimanus,Asian Forest Scorpion,Scorpion,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/461878023/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/461878023/original.jpg,no rights reserved,cc0,709907
Hadrurus arizonensis,Desert Hairy Scorpion,Scorpion,iNaturalist,https://inaturalist-open-data.s3.amazonaws.com/photos/182822772/large.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/182822772/original.jpg,"(c) Sula Vanderplank, some rights reserved (CC BY)",cc-by,119165
